,시군구명,연면적_합계,주거용,상업용,공업용,교육및사회용,기타,주민등록인구,재고지표_주거용,재고지표_상업용,재고지표_공업용,재고지표_교육및사회용,재고지수_주거용,재고지수_상업용,재고지수_공업용,재고지수_교육및사회용
26350,부산광역시 해운대구,35434658,15804185,8936190,941650,2334938,7417695,386785,40.86038755380896,23.103765657923653,2.4345566658479516,6.036785294155668,110.30072406606442,135.57921171032712,28.501671587699573,87.73283836293578
26380,부산광역시 사하구,20146614,11183181,3380179,3107160,1555324,920770,301987,37.0319947547411,11.19312751873425,10.28905217774275,5.150301171904751,99.96615498762873,65.6843316380635,120.45527230173907,74.8495297112196
26410,부산광역시 금정구,14852092,8425366,3270148,592544,2024027,540007,221256,38.079717612177745,14.77992913186535,2.6780923455183134,9.14789655421774,102.79443432403103,86.73266386536275,31.35277547007081,132.9467407974617
26440,부산광역시 강서구,21483125,5404614,5186728,7981412,981710,1928661,143207,37.73987305089835,36.21839714539094,55.73339292073712,6.85518166011438,101.87703966815151,212.5394538313964,652.4780810315623,99.62662497167621
26470,부산광역시 연제구,12269434,7293534,3325757,48850,994961,606332,203536,35.83412271047874,16.339895644996464,0.24000668186463328,4.888378468673847,96.73255487439832,95.88697374178277,2.809789445987984,71.04299675262877
26500,부산광역시 수영구,10498381,6549398,2822770,18163,704899,403151,174806,37.46666590391634,16.148015514341612,0.10390375616397607,4.032464560713019,101.13952962636704,94.7609686895225,1.2164147897878568,58.6039662288144
26530,부산광역시 사상구,16567482,7048060,3469251,3007145,1220235,1822791,203789,34.58508555417613,17.023740241131758,14.756169371261452,5.987737316538184,93.36083691053499,99.89996074351825,172.75239439361317,87.0200221730823
26710,부산광역시 기장군,14530530,6757430,3568536,2407115,1165285,632164,178614,37.83258871085133,19.97903859719843,13.476631171128803,6.524040668704581,102.12732129877993,117.24245925293025,157.77267423524302,94.8141399056885
27110,대구광역시 중구,8420269,2974500,4234887,35161,965333,210388,80199,37.0889911345528,52.804735719896755,0.4384219254604172,12.036721156124141,100.12001407558027,309.8726220424779,5.132662513717857,174.930142477043
27140,대구광역시 동구,22200538,13003341,5950893,585344,1866103,794857,339530,38.29806202691957,17.52685476982888,1.7239831531823402,5.496135834830501,103.38384496067977,102.85237431153654,20.182895039584427,79.87555848387431
